scenario,strategy,fault_type,count
drift,A,drift,75
drift,A,none,525
drift,B,drift,73
drift,B,none,527
drift,C,drift,73
drift,C,none,527
drift,D,drift,75
drift,D,none,525
empty,A,empty,74
empty,A,none,526
empty,B,empty,73
empty,B,none,527
empty,C,empty,51
empty,C,none,398
empty,D,empty,50
empty,D,none,399
error10,A,none,539
error10,A,server_error,61
error10,B,none,599
error10,B,server_error,68
error10,C,none,539
error10,C,server_error,61
error10,D,none,539
error10,D,server_error,61
error30,A,none,411
error30,A,server_error,189
error30,B,none,583
error30,B,server_error,269
error30,C,none,194
error30,C,server_error,88
error30,D,none,194
error30,D,server_error,88
error50,A,none,279
error50,A,server_error,321
error50,B,none,512
error50,B,server_error,575
error50,C,none,47
error50,C,server_error,66
error50,D,none,43
error50,D,server_error,63
irrelevant,A,irrelevant,74
irrelevant,A,none,526
irrelevant,B,irrelevant,75
irrelevant,B,none,525
irrelevant,C,irrelevant,50
irrelevant,C,none,398
irrelevant,D,irrelevant,51
irrelevant,D,none,399
latency,A,none,600
latency,B,none,965
latency,C,none,447
latency,D,none,448
malformed,A,malformed,75
malformed,A,none,525
malformed,B,malformed,75
malformed,B,none,525
malformed,C,malformed,49
malformed,C,none,401
malformed,D,malformed,49
malformed,D,none,401
normal,A,none,600
normal,B,none,600
normal,C,none,600
normal,D,none,600
outage,A,none,389
outage,A,outage,211
outage,B,none,410
outage,B,outage,602
outage,C,none,265
outage,C,outage,35
outage,D,none,265
outage,D,outage,35
rate_limit,A,none,528
rate_limit,A,rate_limit,72
rate_limit,B,none,600
rate_limit,B,rate_limit,83
rate_limit,C,none,366
rate_limit,C,rate_limit,52
rate_limit,D,none,399
rate_limit,D,rate_limit,51
