scenario,strategy,metric,n,mean,std,ci95_low,ci95_high
drift,A,success_rate,5,0.875,0.016666666666666677,0.8543056000299372,0.8956943999700628
drift,A,primary_success_rate,5,0.875,0.016666666666666677,0.8543056000299372,0.8956943999700628
drift,A,fallback_usage_rate,5,0.0,0.0,0.0,0.0
drift,A,fallback_success_rate,5,0.0,0.0,0.0,0.0
drift,A,fallback_accuracy,0,,,,
drift,A,fallback_macro_f1,0,,,,
drift,A,fallback_precision,0,,,,
drift,A,fallback_recall,0,,,,
drift,A,human_review_rate,5,0.0,0.0,0.0,0.0
drift,A,p50,5,0.031000000005587402,1.5940917565382474e-11,0.030999999985794138,0.031000000025380666
drift,A,p95,5,0.04079999999987165,0.008043631014608883,0.030812512954196562,0.05078748704554673
drift,A,p99,5,0.041000000014901006,0.008215838370229179,0.03079868929552633,0.05120131073427568
drift,A,success_p95,5,0.038000000000465405,0.008215838354288258,0.027798689300883993,0.048201310700046816
drift,A,scheduler_lag_p95,5,0.014200000006239399,0.0002981423987961308,0.013829807323316134,0.014570192689162664
drift,A,recovery_seconds,0,,,,
drift,A,retry_count,5,0.0,0.0,0.0,0.0
drift,A,rejected_count,5,0.0,0.0,0.0,0.0
drift,A,circuit_open_seconds,5,0.0,0.0,0.0,0.0
drift,A,requests_during_outage,5,0.0,0.0,0.0,0.0
drift,A,primary_calls,5,120.0,0.0,120.0,120.0
drift,A,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
drift,B,success_rate,5,0.8783333333333333,0.020916500663351923,0.852362067491244,0.9043045991754226
drift,B,primary_success_rate,5,0.8783333333333333,0.020916500663351923,0.852362067491244,0.9043045991754226
drift,B,fallback_usage_rate,5,0.0,0.0,0.0,0.0
drift,B,fallback_success_rate,5,0.0,0.0,0.0,0.0
drift,B,fallback_accuracy,0,,,,
drift,B,fallback_macro_f1,0,,,,
drift,B,fallback_precision,0,,,,
drift,B,fallback_recall,0,,,,
drift,B,human_review_rate,5,0.0,0.0,0.0,0.0
drift,B,p50,5,0.031000000005587402,1.5940917565382474e-11,0.030999999985794138,0.031000000025380666
drift,B,p95,5,0.038000000000465405,0.008215838354288258,0.027798689300883993,0.048201310700046816
drift,B,p99,5,0.04096200000838123,0.008181516975910715,0.030803304928699947,0.051120695088062516
drift,B,success_p95,5,0.03770000000076806,0.00782304287835022,0.027986409302316224,0.04741359069921989
drift,B,scheduler_lag_p95,5,0.014013333350962939,0.0008633269027568747,0.012941371417128963,0.015085295284796914
drift,B,recovery_seconds,0,,,,
drift,B,retry_count,5,0.0,0.0,0.0,0.0
drift,B,rejected_count,5,0.0,0.0,0.0,0.0
drift,B,circuit_open_seconds,5,0.0,0.0,0.0,0.0
drift,B,requests_during_outage,5,0.0,0.0,0.0,0.0
drift,B,primary_calls,5,120.0,0.0,120.0,120.0
drift,B,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
drift,C,success_rate,5,0.8783333333333333,0.020916500663351923,0.852362067491244,0.9043045991754226
drift,C,primary_success_rate,5,0.8783333333333333,0.020916500663351923,0.852362067491244,0.9043045991754226
drift,C,fallback_usage_rate,5,0.0,0.0,0.0,0.0
drift,C,fallback_success_rate,5,0.0,0.0,0.0,0.0
drift,C,fallback_accuracy,0,,,,
drift,C,fallback_macro_f1,0,,,,
drift,C,fallback_precision,0,,,,
drift,C,fallback_recall,0,,,,
drift,C,human_review_rate,5,0.0,0.0,0.0,0.0
drift,C,p50,5,0.030999999993945804,1.3015704688985713e-11,0.030999999977784673,0.031000000010106936
drift,C,p95,5,0.0350000000034922,0.0067082039257312384,0.02667066469630255,0.04332933531068185
drift,C,p99,5,0.041000000007974255,0.008215838363905947,0.030798689296450906,0.0512013107194976
drift,C,success_p95,5,0.034520000005722654,0.005634891301518791,0.027523358342835206,0.041516641668610105
drift,C,scheduler_lag_p95,5,0.014466666689064604,0.0002981423987961308,0.014096474006141339,0.014836859371987868
drift,C,recovery_seconds,0,,,,
drift,C,retry_count,5,0.0,0.0,0.0,0.0
drift,C,rejected_count,5,0.0,0.0,0.0,0.0
drift,C,circuit_open_seconds,5,0.0,0.0,0.0,0.0
drift,C,requests_during_outage,5,0.0,0.0,0.0,0.0
drift,C,primary_calls,5,120.0,0.0,120.0,120.0
drift,C,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
drift,D,success_rate,5,0.875,0.016666666666666677,0.8543056000299372,0.8956943999700628
drift,D,primary_success_rate,5,0.875,0.016666666666666677,0.8543056000299372,0.8956943999700628
drift,D,fallback_usage_rate,5,0.0,0.0,0.0,0.0
drift,D,fallback_success_rate,5,0.0,0.0,0.0,0.0
drift,D,fallback_accuracy,0,,,,
drift,D,fallback_macro_f1,0,,,,
drift,D,fallback_precision,0,,,,
drift,D,fallback_recall,0,,,,
drift,D,human_review_rate,5,0.0,0.0,0.0,0.0
drift,D,p50,5,0.0310000000114082,1.3015704688985713e-11,0.03099999999524707,0.031000000027569332
drift,D,p95,5,0.03814000000624196,0.00809308346648206,0.028091109631453046,0.04818889038103087
drift,D,p99,5,0.04343000001134335,0.00650764934984405,0.03534968610070785,0.051510313921978856
drift,D,success_p95,5,0.040520000005489866,0.00783913260431956,0.030786431273560937,0.05025356873741879
drift,D,scheduler_lag_p95,5,0.01428333333823401,0.0006656241906183304,0.013456851744409708,0.015109814932058313
drift,D,recovery_seconds,0,,,,
drift,D,retry_count,5,0.0,0.0,0.0,0.0
drift,D,rejected_count,5,0.0,0.0,0.0,0.0
drift,D,circuit_open_seconds,5,0.0,0.0,0.0,0.0
drift,D,requests_during_outage,5,0.0,0.0,0.0,0.0
drift,D,primary_calls,5,120.0,0.0,120.0,120.0
drift,D,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
empty,A,success_rate,5,0.8766666666666666,0.01900292375165234,0.8530714203836286,0.9002619129497046
empty,A,primary_success_rate,5,0.8766666666666666,0.01900292375165234,0.8530714203836286,0.9002619129497046
empty,A,fallback_usage_rate,5,0.0,0.0,0.0,0.0
empty,A,fallback_success_rate,5,0.0,0.0,0.0,0.0
empty,A,fallback_accuracy,0,,,,
empty,A,fallback_macro_f1,0,,,,
empty,A,fallback_precision,0,,,,
empty,A,fallback_recall,0,,,,
empty,A,human_review_rate,5,0.0,0.0,0.0,0.0
empty,A,p50,5,0.0310000000143186,6.507851568701015e-12,0.031000000006238038,0.031000000022399166
empty,A,p95,5,0.0439999999944118,0.0067082039257312384,0.035670664687222145,0.05232933530160146
empty,A,p99,5,0.04400000000023261,0.006708203928985166,0.03567066468900267,0.05232933531146255
empty,A,success_p95,5,0.0439999999944118,0.0067082039257312384,0.035670664687222145,0.05232933530160146
empty,A,scheduler_lag_p95,5,0.014533333354240998,0.0009888264594241955,0.013305543139102677,0.01576112356937932
empty,A,recovery_seconds,0,,,,
empty,A,retry_count,5,0.0,0.0,0.0,0.0
empty,A,rejected_count,5,0.0,0.0,0.0,0.0
empty,A,circuit_open_seconds,5,0.0,0.0,0.0,0.0
empty,A,requests_during_outage,5,0.0,0.0,0.0,0.0
empty,A,primary_calls,5,120.0,0.0,120.0,120.0
empty,A,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
empty,B,success_rate,5,0.8783333333333333,0.019184774055368902,0.8545122900751081,0.9021543765915585
empty,B,primary_success_rate,5,0.8783333333333333,0.019184774055368902,0.8545122900751081,0.9021543765915585
empty,B,fallback_usage_rate,5,0.0,0.0,0.0,0.0
empty,B,fallback_success_rate,5,0.0,0.0,0.0,0.0
empty,B,fallback_accuracy,0,,,,
empty,B,fallback_macro_f1,0,,,,
empty,B,fallback_precision,0,,,,
empty,B,fallback_recall,0,,,,
empty,B,human_review_rate,5,0.0,0.0,0.0,0.0
empty,B,p50,5,0.0310000000114082,1.3015704688985713e-11,0.03099999999524707,0.031000000027569332
empty,B,p95,5,0.04115000000339909,0.008014830001925377,0.031198274138284927,0.05110172586851326
empty,B,p99,5,0.04400000001187421,0.006708203935493018,0.035670664692563706,0.05232933533118471
empty,B,success_p95,5,0.04355000000272389,0.006529739656505389,0.03544225735359772,0.05165774265185006
empty,B,scheduler_lag_p95,5,0.01440666668266391,0.0011543155792636027,0.012973394585326568,0.015839938780001252
empty,B,recovery_seconds,0,,,,
empty,B,retry_count,5,0.0,0.0,0.0,0.0
empty,B,rejected_count,5,0.0,0.0,0.0,0.0
empty,B,circuit_open_seconds,5,0.0,0.0,0.0,0.0
empty,B,requests_during_outage,5,0.0,0.0,0.0,0.0
empty,B,primary_calls,5,120.0,0.0,120.0,120.0
empty,B,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
empty,C,success_rate,5,0.6633333333333333,0.03845993586404775,0.6155790155977193,0.7110876510689473
empty,C,primary_success_rate,5,0.6633333333333333,0.03845993586404775,0.6155790155977193,0.7110876510689473
empty,C,fallback_usage_rate,5,0.0,0.0,0.0,0.0
empty,C,fallback_success_rate,5,0.0,0.0,0.0,0.0
empty,C,fallback_accuracy,0,,,,
empty,C,fallback_macro_f1,0,,,,
empty,C,fallback_precision,0,,,,
empty,C,fallback_recall,0,,,,
empty,C,human_review_rate,5,0.0,0.0,0.0,0.0
empty,C,p50,5,0.030999999988125006,3.878959614448864e-18,0.030999999988125002,0.03099999998812501
empty,C,p95,5,0.043800000002374606,0.0066105975500749415,0.03559185901783253,0.05200814098691668
empty,C,p99,5,0.046430000009422503,0.0012745587556507003,0.044847426288935635,0.04801257372990937
empty,C,success_p95,5,0.04338000000745499,0.006501692088548905,0.03530708301369756,0.05145291700121242
